name,time,payload,value
CurrentTemp,1669235818315253484,,58.24
CurrentTemp,1669237617989391656,,58.05
CurrentTemp,1669239418214492605,,57.58
CurrentTemp,1669241217853875486,,57.15
CurrentTemp,1669243017856542729,,56.3
CurrentTemp,1669244817862272388,,56.08
CurrentTemp,1669246617927338111,,56.01
CurrentTemp,1669248417938957602,,55.02
CurrentTemp,1669250218094833115,,54.57
CurrentTemp,1669252018045687772,,53.53
CurrentTemp,1669253818447935421,,53.22
CurrentTemp,1669255617751415100,,53.37
CurrentTemp,1669257418318161676,,53.02
CurrentTemp,1669259012716860873,,52.83
CurrentTemp,1669260467107439064,,52.56
CurrentTemp,1669260875837649903,,51.89
CurrentTemp,1669260941217616558,,51.89
CurrentTemp,1669261021963652531,,51.89
CurrentTemp,1669261119916800480,,51.89
CurrentTemp,1669261152790862744,,51.89
CurrentTemp,1669261242131608773,,51.89
CurrentTemp,1669261552044502272,,51.87
CurrentTemp,1669261783642890806,,51.87
CurrentTemp,1669261922004661948,,51.87
CurrentTemp,1669261971632722408,,51.87
CurrentTemp,1669262000757087888,,51.87
CurrentTemp,1669262080083277864,,51.87
CurrentTemp,1669262203557499695,,51.87
CurrentTemp,1669262690533550045,,52.18
CurrentTemp,1669262724466776830,,52.18
CurrentTemp,1669262782180656880,,52.18
CurrentTemp,1669262836520308605,,52.18
CurrentTemp,1669262883725794602,,52.18
CurrentTemp,1669262977718607544,,52.18
CurrentTemp,1669263113060219824,,52.18
CurrentTemp,1669263215807045874,,52.18
CurrentTemp,1669263304225596489,,52.18
CurrentTemp,1669264606752859114,,51.71
CurrentTemp,1669264665877538731,,51.71
CurrentTemp,1669264772564872670,,51.71
CurrentTemp,1669266572560403382,,51.48
CurrentTemp,1669268372268519112,,51.22
CurrentTemp,1669270172513614045,,51.15
CurrentTemp,1669271972332465934,,51.01
CurrentTemp,1669273772341040971,,50.9
CurrentTemp,1669275572398050447,,50.65
CurrentTemp,1669277372253880485,,50.65
CurrentTemp,1669279172524560858,,50.4
CurrentTemp,1669280972288640644,,50.38
CurrentTemp,1669282772328401542,,49.75
CurrentTemp,1669284572308849592,,49.6
CurrentTemp,1669286372356457184,,49.51
CurrentTemp,1669288172483686354,,49.26
CurrentTemp,1669289972532377265,,48.97
CurrentTemp,1669291772325424175,,48.9
CurrentTemp,1669293572566159311,,48.88
CurrentTemp,1669295372390347939,,48.83
CurrentTemp,1669297172407726659,,48.85
CurrentTemp,1669298972690900914,,48.92
CurrentTemp,1669300772390157288,,48.92
CurrentTemp,1669302572617281493,,50.54
CurrentTemp,1669304372357577604,,51.49
CurrentTemp,1669306172335702046,,51.49
CurrentTemp,1669307972310969874,,52.97
CurrentTemp,1669309772357604706,,55.09
CurrentTemp,1669311576669846985,,55.67
CurrentTemp,1669313372579017553,,55.71
CurrentTemp,1669315172620978385,,56.93
CurrentTemp,1669316972477646624,,58.06
CurrentTemp,1669318772410183895,,58.21
CurrentTemp,1669320572642972143,,57.67
CurrentTemp,1669322372582766747,,58.42
CurrentTemp,1669324173283385920,,58.08
CurrentTemp,1669325972770588240,,57.69
CurrentTemp,1669327772808471860,,56.7
CurrentTemp,1669329573526156839,,56.17
CurrentTemp,1669331372505238658,,55.18
CurrentTemp,1669333172861878029,,54.28
CurrentTemp,1669334972672969425,,52.79
CurrentTemp,1669336773643113023,,51.35
CurrentTemp,1669338573109392281,,50.13
CurrentTemp,1669340372522834634,,49.1
CurrentTemp,1669342174087488389,,47.39
CurrentTemp,1669343972857511891,,46.24
CurrentTemp,1669345772744389569,,44.87
CurrentTemp,1669347572689837088,,43.56
CurrentTemp,1669349372565208521,,42.22
CurrentTemp,1669351172490112830,,41.34
CurrentTemp,1669352973092443861,,40.08
CurrentTemp,1669354772518797103,,38.55
CurrentTemp,1669356572368783568,,38.1
CurrentTemp,1669358372384705592,,37.24
CurrentTemp,1669360172421431767,,36.54
CurrentTemp,1669361972489419522,,36.14
CurrentTemp,1669363772363905079,,36.16
CurrentTemp,1669365572398575016,,36.25
CurrentTemp,1669367372499525727,,36.52
CurrentTemp,1669369172505806281,,35.74
CurrentTemp,1669370972453370824,,35.38
CurrentTemp,1669372772410013958,,35.08
CurrentTemp,1669374572420956540,,34.21
CurrentTemp,1669376372429919874,,33.84
CurrentTemp,1669378172399305403,,33.49
CurrentTemp,1669379972518212813,,32.97
CurrentTemp,1669381772655252661,,32.25
CurrentTemp,1669383572562113394,,32.11
CurrentTemp,1669385372426376698,,32.72
CurrentTemp,1669387173473803719,,35.78
CurrentTemp,1669388972411449683,,37.35
CurrentTemp,1669390772500082666,,40.17
CurrentTemp,1669392572915162607,,41.27
CurrentTemp,1669394373285015394,,43.93
CurrentTemp,1669396172658440023,,46.04
CurrentTemp,1669397972677004350,,47.73
CurrentTemp,1669399772541669721,,49.53
CurrentTemp,1669401573577906771,,50.59
CurrentTemp,1669403372810723784,,52.32
CurrentTemp,1669405172709896557,,53.76
CurrentTemp,1669406973146799574,,54.32
CurrentTemp,1669408772905768546,,54.41
CurrentTemp,1669410573079520172,,54.28
CurrentTemp,1669412372955566165,,55.27
CurrentTemp,1669414172818281455,,53.49
CurrentTemp,1669415972568177091,,51.96
CurrentTemp,1669417772555211342,,48.94
CurrentTemp,1669419572645889338,,45.9
CurrentTemp,1669421372912989161,,43.88
CurrentTemp,1669423172766528143,,42.64
CurrentTemp,1669424973071394315,,41.18
CurrentTemp,1669426773085548615,,40.73
CurrentTemp,1669428573321667087,,40.69
CurrentTemp,1669430372897427318,,38.53
CurrentTemp,1669432172649910139,,37.85
CurrentTemp,1669433972841115026,,36.79
CurrentTemp,1669435773446905602,,36.3
CurrentTemp,1669437572791268807,,35.8
CurrentTemp,1669439372927999991,,36.21
CurrentTemp,1669441172702053813,,36.28
CurrentTemp,1669442972726660807,,34.93
CurrentTemp,1669444772757654229,,35.46
CurrentTemp,1669446572624885731,,34.77
CurrentTemp,1669448372715124050,,34.32
CurrentTemp,1669450172801652394,,34.3
CurrentTemp,1669451972877117048,,34.11
CurrentTemp,1669453772586357544,,33.44
CurrentTemp,1669455572648085159,,34.38
CurrentTemp,1669457372610750168,,33.93
CurrentTemp,1669459172688751308,,33.44
CurrentTemp,1669460972652643450,,32.52
CurrentTemp,1669462772733483607,,31.48
CurrentTemp,1669464572704167288,,33.85
CurrentTemp,1669466372756808174,,32.85
CurrentTemp,1669468172740786340,,34.72
CurrentTemp,1669469972761770515,,34.3
CurrentTemp,1669471772805470788,,35.53
CurrentTemp,1669473572854555784,,38.91
CurrentTemp,1669475372679100988,,40.95
CurrentTemp,1669475519021041011,,40.95
CurrentTemp,1669477318443629946,,42.75
CurrentTemp,1669479118623642672,,44.83
CurrentTemp,1669480918430416439,,46.17
CurrentTemp,1669482718433128792,,47.1
CurrentTemp,1669484518493673922,,48.54
CurrentTemp,1669486318602761598,,49.26
CurrentTemp,1669488118526184043,,50.32
CurrentTemp,1669489918424847442,,50.72
CurrentTemp,1669491718546327150,,51.08
CurrentTemp,1669493518522640414,,52.43
CurrentTemp,1669495318450962246,,52.88
CurrentTemp,1669497118323058227,,52.45
CurrentTemp,1669498918472882098,,52.21
CurrentTemp,1669500718464340192,,51.33
CurrentTemp,1669502518488175928,,50.72
CurrentTemp,1669504318626358804,,49.71
CurrentTemp,1669506118637407072,,49.46
CurrentTemp,1669507918987183990,,49.48
CurrentTemp,1669509719703133714,,48.94
CurrentTemp,1669511518500476362,,47.59
CurrentTemp,1669513319172709306,,45.86
CurrentTemp,1669515118840153628,,45.12
CurrentTemp,1669515930296031192,,44.8
CurrentTemp,1669517731381066855,,44.38
CurrentTemp,1669519531424899706,,44.22
CurrentTemp,1669521330241935595,,44.22
CurrentTemp,1669523130627194631,,44.11
CurrentTemp,1669524930148770925,,43.84
CurrentTemp,1669526730154369990,,43.86
CurrentTemp,1669528530016602622,,43.75
CurrentTemp,1669530330183616898,,43.38
CurrentTemp,1669532129977072370,,42.69
CurrentTemp,1669533930021112812,,42.46
CurrentTemp,1669535730006958293,,42.78
CurrentTemp,1669537530222008474,,42.8
CurrentTemp,1669539329971836826,,42.78
CurrentTemp,1669541129923809261,,42.66
CurrentTemp,1669542930076772557,,42.49
CurrentTemp,1669544729955254524,,41.76
CurrentTemp,1669546530006996393,,41.86
CurrentTemp,1669548330006114578,,41.88
CurrentTemp,1669550130090416407,,41.76
CurrentTemp,1669551930086961687,,41.65
CurrentTemp,1669553730105339103,,41.59
CurrentTemp,1669555530170005699,,41.34
CurrentTemp,1669557330103768258,,41.04
CurrentTemp,1669559130025745042,,40.84
CurrentTemp,1669560930324818749,,40.84
CurrentTemp,1669562730728230355,,40.95
CurrentTemp,1669564530162132734,,41.16
CurrentTemp,1669564634608240827,,41.16
CurrentTemp,1669564911965644999,,41.18
CurrentTemp,1669565006219503288,,41.27
CurrentTemp,1669565071923636215,,41.27
CurrentTemp,1669565193234732649,,41.5
CurrentTemp,1669565573373747354,,41.5
CurrentTemp,1669565649795932500,,41.5
CurrentTemp,1669565682303118590,,41.5
CurrentTemp,1669565773525075391,,41.5
CurrentTemp,1669565835295868696,,41.5
CurrentTemp,1669565884667317677,,41.5
CurrentTemp,1669566268646953169,,41.54
CurrentTemp,1669566322698727515,,41.54
CurrentTemp,1669566378426586292,,41.54
CurrentTemp,1669566401134367688,,41.54
CurrentTemp,1669566436288943585,,41.54
CurrentTemp,1669566477921451530,,41.54
CurrentTemp,1669566522942001871,,41.54
CurrentTemp,1669568322785297076,,41.9
CurrentTemp,1669570122896162818,,42.51
CurrentTemp,1669571922841542219,,42.12
CurrentTemp,1669573723866083797,,43.34
CurrentTemp,1669575522680566915,,43.16
CurrentTemp,1669577322973271680,,43.34
